dataset,generator,metric,llm_config_std,control_seed_floor,ratio_config_over_floor
diabetes,great,ks_marginal,0.00818868000608485,0.024030310549745148,0.3407646351108723
diabetes,great,tvd_categorical,0.0066874479373445605,0.013920167814682846,0.4804143187333353
diabetes,great,corr_diff,0.019113219027758525,0.099378572586065,0.19232736524974609
diabetes,great,c2st_auc,0.014715680767923501,0.0396130488567986,0.37148568950400085
diabetes,great,tstr,0.012051912302781654,0.0735633281944658,0.16383043832549604
diabetes,icl,ks_marginal,0.03940752358012397,0.024030310549745148,1.6399090431455912
diabetes,icl,tvd_categorical,0.039020214884592036,0.013920167814682846,2.8031425629390707
diabetes,icl,corr_diff,0.348689393575617,0.099378572586065,3.508697946668945
diabetes,icl,c2st_auc,0.04271510214700439,0.0396130488567986,1.07830887497248
diabetes,icl,tstr,0.027685425058782052,0.0735633281944658,0.37634818513913887
