metric,method,n,pct_generator,pct_dataset,pct_config_id,pct_seed,pct_residual,pct_config
ks_marginal,anova_eta_sq,180,7.516598321470527,,32.98148732439664,3.1484886169785296,56.353425737154296,
ks_marginal,mixedlm,180,,,,0.0005257392309716571,46.68774810251351,53.31172615825552
tvd_categorical,anova_eta_sq,180,4.4649051086151355,,18.80320648510512,5.41073979370283,71.32114861257692,
tvd_categorical,mixedlm,180,,,,0.006858289471198086,70.10858724189822,29.884554468630576
corr_diff,anova_eta_sq,180,24.942764844421063,,36.632544648075545,3.289954684725831,35.134735822777564,
corr_diff,mixedlm,180,,,,1.361657209049188,23.890133420202798,74.74820937074801
c2st_auc,anova_eta_sq,180,22.26279612180537,,29.36772320418947,4.171468438320616,44.19801223568453,
c2st_auc,mixedlm,180,,,,1.695252981590344,47.77758372108086,50.5271632973288
tstr,anova_eta_sq,180,41.78926926363411,,4.2801743473585665,6.186923367836071,47.74363302117125,
tstr,mixedlm,180,,,,4.3067065305403265,43.073894723666115,52.61939874579355
